Date,EUR/PLN
2023-08-09,4.4586
2023-08-10,4.465
2023-08-11,4.4547
2023-08-14,4.4361
2023-08-16,4.4621
2023-08-17,4.4681
2023-08-18,4.4869
2023-08-21,4.4768
2023-08-22,4.4648
2023-08-23,4.4834
2023-08-24,4.473
2023-08-25,4.4674
2023-08-28,4.4716
2023-08-29,4.469
2023-08-30,4.474
2023-08-31,4.4684
2023-09-01,4.4762
2023-09-04,4.4653
2023-09-05,4.4764
2023-09-06,4.4974
2023-09-07,4.594
2023-09-08,4.6019
2023-09-11,4.6209
2023-09-12,4.6836
2023-09-13,4.6402
2023-09-14,4.6285
2023-09-15,4.6307
2023-09-18,4.6377
2023-09-19,4.6458
2023-09-20,4.6529
2023-09-21,4.621
2023-09-22,4.6069
2023-09-25,4.5892
2023-09-26,4.6077
2023-09-27,4.6065
2023-09-28,4.634
2023-09-29,4.6356
2023-10-02,4.6091
2023-10-03,4.6147
2023-10-04,4.6303
2023-10-05,4.5974
2023-10-06,4.5998
2023-10-09,4.5793
2023-10-10,4.5581
2023-10-11,4.5183
2023-10-12,4.5329
2023-10-13,4.5417
2023-10-16,4.4804
2023-10-17,4.4389
2023-10-18,4.4488
2023-10-19,4.4529
2023-10-20,4.4675
2023-10-23,4.4552
2023-10-24,4.4604
2023-10-25,4.4758
2023-10-26,4.4708
2023-10-27,4.4642
2023-10-30,4.4491
2023-10-31,4.4475
2023-11-02,4.4582
2023-11-03,4.4569
2023-11-06,4.4615
2023-11-07,4.4513
2023-11-08,4.4584
2023-11-09,4.4413
2023-11-10,4.4227
2023-11-13,4.4336
2023-11-14,4.4163
2023-11-15,4.39
2023-11-16,4.3854
2023-11-17,4.3767
2023-11-20,4.368
2023-11-21,4.3647
2023-11-22,4.3804
2023-11-23,4.3658
2023-11-24,4.3722
2023-11-27,4.3543
2023-11-28,4.3542
2023-11-29,4.3327
2023-11-30,4.3492
2023-12-01,4.3494
2023-12-04,4.3337
2023-12-05,4.3233
2023-12-06,4.3382
2023-12-07,4.3334
2023-12-08,4.3303
2023-12-11,4.3366
2023-12-12,4.3396
2023-12-13,4.3309
2023-12-14,4.3053
